Local Government District 2014 Code,Local Government District 2014 Label,Irish (Ability) Code,Irish (Ability) Label,Sexual Orientation Code,Sexual Orientation Label,Count
N09000007,Lisburn and Castlereagh,6,No ability in Irish,3,Prefer not to say/Not stated,7223
N09000008,Mid and East Antrim,1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,2187
N09000008,Mid and East Antrim,1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",50
N09000008,Mid and East Antrim,1,"Understands but does not read, write or speak Irish",3,Prefer not to say/Not stated,264
N09000008,Mid and East Antrim,2,Speaks but does not read or write Irish,1,Straight or heterosexual,728
N09000008,Mid and East Antrim,2,Speaks but does not read or write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",21
N09000008,Mid and East Antrim,2,Speaks but does not read or write Irish,3,Prefer not to say/Not stated,115
N09000008,Mid and East Antrim,3,Speaks and reads but does not write Irish,1,Straight or heterosexual,189
N09000008,Mid and East Antrim,3,Speaks and reads but does not write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",7
N09000008,Mid and East Antrim,3,Speaks and reads but does not write Irish,3,Prefer not to say/Not stated,37
N09000008,Mid and East Antrim,4,"Speaks, reads, writes and understands Irish",1,Straight or heterosexual,1131
N09000008,Mid and East Antrim,4,"Speaks, reads, writes and understands Irish",2,"Gay, lesbian, bisexual, other sexual orientation",33
N09000008,Mid and East Antrim,4,"Speaks, reads, writes and understands Irish",3,Prefer not to say/Not stated,143
N09000008,Mid and East Antrim,5,Other combination of skills,1,Straight or heterosexual,429
N09000008,Mid and East Antrim,5,Other combination of skills,2,"Gay, lesbian, bisexual, other sexual orientation",28
N09000008,Mid and East Antrim,5,Other combination of skills,3,Prefer not to say/Not stated,74
N09000008,Mid and East Antrim,6,No ability in Irish,1,Straight or heterosexual,98284
N09000008,Mid and East Antrim,6,No ability in Irish,2,"Gay, lesbian, bisexual, other sexual orientation",1624
N09000008,Mid and East Antrim,6,No ability in Irish,3,Prefer not to say/Not stated,7734
N09000009,Mid Ulster,1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,9312
N09000009,Mid Ulster,1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",124
N09000009,Mid Ulster,1,"Understands but does not read, write or speak Irish",3,Prefer not to say/Not stated,670
N09000009,Mid Ulster,2,Speaks but does not read or write Irish,1,Straight or heterosexual,3456
N09000009,Mid Ulster,2,Speaks but does not read or write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",44
N09000009,Mid Ulster,2,Speaks but does not read or write Irish,3,Prefer not to say/Not stated,359
N09000009,Mid Ulster,3,Speaks and reads but does not write Irish,1,Straight or heterosexual,1019
N09000009,Mid Ulster,3,Speaks and reads but does not write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",9
N09000009,Mid Ulster,3,Speaks and reads but does not write Irish,3,Prefer not to say/Not stated,74
N09000009,Mid Ulster,4,"Speaks, reads, writes and understands Irish",1,Straight or heterosexual,6481
N09000009,Mid Ulster,4,"Speaks, reads, writes and understands Irish",2,"Gay, lesbian, bisexual, other sexual orientation",116
N09000009,Mid Ulster,4,"Speaks, reads, writes and understands Irish",3,Prefer not to say/Not stated,387
N09000009,Mid Ulster,5,Other combination of skills,1,Straight or heterosexual,1531
N09000009,Mid Ulster,5,Other combination of skills,2,"Gay, lesbian, bisexual, other sexual orientation",34
N09000009,Mid Ulster,5,Other combination of skills,3,Prefer not to say/Not stated,176
N09000009,Mid Ulster,6,No ability in Irish,1,Straight or heterosexual,82324
N09000009,Mid Ulster,6,No ability in Irish,2,"Gay, lesbian, bisexual, other sexual orientation",987
N09000009,Mid Ulster,6,No ability in Irish,3,Prefer not to say/Not stated,8556
N09000010,"Newry, Mourne and Down",1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,10797
N09000010,"Newry, Mourne and Down",1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",190
N09000010,"Newry, Mourne and Down",1,"Understands but does not read, write or speak Irish",3,Prefer not to say/Not stated,768
N09000010,"Newry, Mourne and Down",2,Speaks but does not read or write Irish,1,Straight or heterosexual,3913
N09000010,"Newry, Mourne and Down",2,Speaks but does not read or write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",79
