Local Government District 2014 Code,Local Government District 2014 Label,Sexual Orientation Code,Sexual Orientation Label,Irish (Speak Frequency) Code,Irish (Speak Frequency) Label,Count
N09000006,Fermanagh and Omagh,1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,4107
N09000006,Fermanagh and Omagh,1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,795
N09000006,Fermanagh and Omagh,1,Straight or heterosexual,5,Cannot speak Irish,74036
N09000006,Fermanagh and Omagh,1,Straight or heterosexual,-8,No code required,0
N09000006,Fermanagh and Omagh,2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,31
N09000006,Fermanagh and Omagh,2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,22
N09000006,Fermanagh and Omagh,2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,53
N09000006,Fermanagh and Omagh,2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,23
N09000006,Fermanagh and Omagh,2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,933
N09000006,Fermanagh and Omagh,2,"Gay, lesbian, bisexual, other sexual orientation",-8,No code required,0
N09000006,Fermanagh and Omagh,3,Prefer not to say/Not stated,1,Can speak Irish: Speaks Irish daily,195
N09000006,Fermanagh and Omagh,3,Prefer not to say/Not stated,2,Can speak Irish: Speaks Irish weekly,150
N09000006,Fermanagh and Omagh,3,Prefer not to say/Not stated,3,Can speak Irish: Speaks Irish less often than weekly,403
N09000006,Fermanagh and Omagh,3,Prefer not to say/Not stated,4,Can speak Irish: Never speaks Irish,84
N09000006,Fermanagh and Omagh,3,Prefer not to say/Not stated,5,Cannot speak Irish,7747
N09000006,Fermanagh and Omagh,3,Prefer not to say/Not stated,-8,No code required,0
N09000006,Fermanagh and Omagh,-8,No code required,1,Can speak Irish: Speaks Irish daily,948
N09000006,Fermanagh and Omagh,-8,No code required,2,Can speak Irish: Speaks Irish weekly,787
N09000006,Fermanagh and Omagh,-8,No code required,3,Can speak Irish: Speaks Irish less often than weekly,567
N09000006,Fermanagh and Omagh,-8,No code required,4,Can speak Irish: Never speaks Irish,72
N09000006,Fermanagh and Omagh,-8,No code required,5,Cannot speak Irish,18163
N09000006,Fermanagh and Omagh,-8,No code required,-8,No code required,4261
N09000007,Lisburn and Castlereagh,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,1151
N09000007,Lisburn and Castlereagh,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,705
N09000007,Lisburn and Castlereagh,1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,1727
N09000007,Lisburn and Castlereagh,1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,474
N09000007,Lisburn and Castlereagh,1,Straight or heterosexual,5,Cannot speak Irish,104592
N09000007,Lisburn and Castlereagh,1,Straight or heterosexual,-8,No code required,0
N09000007,Lisburn and Castlereagh,2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,43
N09000007,Lisburn and Castlereagh,2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,30
N09000007,Lisburn and Castlereagh,2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,69
